id_maquina,temperatura_motor_c,vibracion_mm_s,presion_hidraulica_bar,horas_operacion,ciclos_acumulados,humedad_ambiente_pct,ruido_db,turno,linea_produccion,target_falla_30d
398,69.14,5.87,73.4,5147,6307,71.3,55.5,A,L1,0
399,59.58,3.88,66.6,6758,57829,37.6,66.0,A,L2,0
400,62.79,1.51,74.5,6127,86815,51.5,69.0,A,L3,0
401,66.73,8.1,96.5,3103,81405,43.9,65.6,B,L4,1
402,71.11,0.99,78.1,1478,48613,32.9,64.1,A,L4,0
403,63.33,2.44,96.7,3455,40447,36.3,58.8,B,L1,0
404,75.58,3.91,101.2,7686,58026,28.1,61.5,C,L1,1
405,74.36,5.47,91.9,3172,73970,67.5,67.1,C,L1,0
406,63.62,4.83,97.6,1703,21528,56.7,84.1,A,L3,0
407,64.17,2.91,93.6,812,21040,51.1,63.4,A,L2,0
408,84.01,3.81,98.9,4746,96943,46.7,55.4,C,L2,0
409,57.43,1.91,99.6,3750,61853,28.4,63.1,B,L2,0
410,63.18,2.16,93.6,1164,86060,35.4,67.8,C,L2,0
411,71.92,1.8,75.8,2514,27187,16.6,73.9,A,L1,0
412,58.95,2.18,66.9,2946,8167,49.9,69.3,A,L1,0
413,62.37,3.07,93.2,8615,98946,59.0,85.9,A,L3,1
414,62.36,4.06,71.2,4248,37089,37.3,70.9,A,L3,0
415,69.11,1.81,91.0,111,73929,38.7,76.3,B,L1,0
416,75.36,1.15,107.3,1592,39195,6.8,74.1,B,L2,0
417,63.95,3.19,86.8,811,101072,51.6,69.6,B,L4,0
418,70.62,2.94,88.9,4344,17453,50.1,72.2,A,L4,0
419,70.39,4.15,81.2,2985,81787,29.4,68.8,A,L2,0
420,96.75,4.56,107.1,2009,53418,56.9,58.7,B,L3,0
421,61.52,4.46,89.2,3259,90117,74.9,69.9,C,L1,0
422,63.69,2.9,77.4,8947,8638,19.3,68.0,A,L3,0
423,60.72,3.25,72.2,188,18619,56.3,78.1,C,L3,0
424,54.48,4.65,91.2,4363,77626,18.6,68.0,B,L3,0
425,70.4,1.43,80.2,4840,10200,56.3,77.3,A,L1,0
426,56.16,1.33,76.7,3844,43772,9.8,78.0,A,L3,0
427,74.61,2.94,62.0,1721,102812,42.8,80.6,A,L2,1
428,71.93,4.82,95.2,5193,104008,46.1,58.4,A,L4,1
429,71.35,3.43,76.9,5200,46953,46.8,80.7,B,L3,0
430,71.44,1.04,84.3,7782,111945,28.1,73.7,A,L1,0
431,58.6,2.09,97.1,4517,13656,43.4,68.4,B,L1,0
432,61.02,3.62,62.5,8140,100209,16.3,68.3,A,L1,1
433,78.88,2.66,76.9,3360,105014,30.0,73.6,A,L1,0
434,65.94,2.46,80.5,1143,5880,46.7,75.1,A,L3,0
435,54.27,3.23,69.8,6372,68415,16.0,82.6,B,L2,0
436,64.96,2.61,93.9,1737,90121,35.8,85.6,B,L1,0
437,74.93,2.27,88.0,2691,114127,55.2,66.0,A,L4,1
438,63.11,2.22,88.2,5419,40748,21.2,73.6,A,L2,0
439,63.17,1.73,,3747,73030,50.2,66.0,C,L3,0
440,73.54,6.23,79.4,370,38119,59.3,75.3,B,L3,1
441,75.59,4.98,68.1,7699,93676,52.7,81.0,A,L2,1
442,58.43,1.22,89.1,5721,118925,59.7,63.9,A,L1,0
443,81.4,3.67,106.6,2356,82851,54.8,70.5,B,L2,1
444,55.85,3.05,92.5,3184,30710,48.7,72.3,A,L4,0
445,63.47,3.84,96.7,8074,66249,36.4,80.0,A,L1,1
446,79.0,6.17,100.5,7383,87784,24.5,73.4,C,L1,1
447,77.51,1.77,79.7,7096,17770,49.0,79.1,B,L4,0
448,70.82,6.77,70.2,8797,83792,60.3,55.2,A,L3,1
449,67.07,3.53,105.7,1041,10256,15.6,68.6,A,L2,0
450,61.63,4.26,73.2,3004,84519,56.4,80.6,A,L1,1
451,78.35,1.71,78.3,2440,48471,60.0,64.7,C,L3,0
452,68.55,2.48,53.2,7552,71370,60.9,71.2,B,L1,0
453,78.16,2.43,88.9,320,29678,36.1,80.2,A,L3,0
454,94.15,5.87,83.5,8175,42562,57.3,75.3,A,L1,1
455,52.76,2.08,79.6,5416,7300,14.2,69.7,B,L4,0
456,71.75,6.07,68.6,7736,30039,28.9,79.1,A,L3,0
457,72.23,4.77,98.2,8601,90869,41.4,77.0,A,L4,1
458,82.83,1.51,77.9,538,9246,17.3,65.4,A,L3,0
459,83.85,3.15,94.9,7139,79279,38.5,74.7,A,L1,0
460,61.17,1.79,72.8,701,25370,40.9,80.8,B,L3,0
461,,5.14,62.2,3589,83169,42.8,70.6,A,L2,1
462,72.11,4.72,89.2,6086,21594,51.8,74.9,B,L1,0
463,62.64,1.92,81.2,3265,11547,67.3,78.2,B,L3,0
464,70.72,1.85,96.7,5272,33715,69.0,73.9,A,L2,0
465,91.63,3.14,95.5,1999,76086,34.0,72.0,A,L3,1
466,67.05,3.63,99.1,1946,51264,39.7,59.8,A,L4,0
467,78.33,3.12,79.7,1150,40394,8.7,57.7,B,L3,0
468,81.9,2.53,86.5,2279,112574,41.9,66.8,C,L3,1
469,68.53,5.31,81.1,6997,110195,28.3,65.7,C,L1,0
470,63.09,1.69,77.4,879,104915,62.5,59.5,B,L1,0
471,63.51,1.66,63.8,2413,59462,45.0,76.9,A,L2,0
472,61.44,2.49,69.3,8163,116404,40.6,77.7,B,L1,0
473,84.96,3.42,63.6,6300,23950,75.5,80.6,C,L2,0
474,56.74,2.26,119.2,2985,47515,45.3,70.4,C,L3,0
475,78.85,4.56,61.2,6608,58070,33.2,81.8,B,L4,0
476,76.03,3.2,94.0,5877,62078,26.6,88.6,A,L3,0
477,74.11,3.82,90.0,2395,11511,68.5,66.7,B,L4,0
478,76.15,5.26,94.7,8518,13526,50.9,77.2,B,L1,0
479,71.6,7.09,86.9,7303,118422,25.0,80.5,A,L2,1
480,69.64,3.41,91.8,5836,89112,32.3,71.5,B,L3,0
481,57.64,1.97,75.0,1036,28178,52.3,80.1,A,L3,0
482,64.67,2.96,90.8,8131,72882,47.0,76.2,B,L4,0
483,61.03,,74.3,2797,116884,73.9,74.4,A,L3,0
484,70.9,3.41,87.7,6856,59594,42.2,88.7,B,L1,0
485,62.49,2.75,94.5,3990,10719,51.0,69.0,A,L1,0
486,43.58,1.48,81.7,205,77905,64.2,67.4,A,L4,0
487,73.84,0.8,90.6,3604,107639,44.2,77.5,B,L4,0
488,70.27,2.79,77.9,5485,82659,36.4,63.1,A,L1,0
489,56.74,2.33,84.3,4751,89041,21.9,66.2,B,L3,0
490,65.19,4.77,76.4,7811,97111,44.7,83.1,C,L2,1
491,66.19,2.62,94.2,3655,29182,52.4,82.1,C,L4,0
492,51.83,3.38,72.6,330,112469,22.7,73.3,C,L1,0
493,64.92,2.93,93.3,2386,46985,9.6,67.7,A,L1,0
494,76.18,3.43,81.1,6232,23667,55.9,82.8,A,L1,0
495,61.57,3.14,68.0,4877,63541,56.9,74.0,B,L2,0
496,73.46,,,7511,77561,23.2,81.6,A,L2,0
497,77.06,6.34,79.4,5503,93182,60.1,75.1,B,L1,1
498,73.02,,78.3,1837,5909,56.6,70.6,A,L1,0
499,70.26,5.22,80.0,1757,42942,49.3,73.8,B,L4,0
500,51.26,0.97,62.9,2724,55584,68.2,82.4,B,L2,0
501,58.23,2.59,77.3,7205,3694,68.1,67.2,A,L3,0
502,78.67,2.45,100.8,1520,27879,34.4,68.8,B,L4,0
503,87.82,2.11,100.1,5561,45513,29.8,79.8,A,L4,0
504,68.89,3.77,97.5,6685,60252,42.3,72.3,C,L4,0
505,61.16,3.48,88.7,1744,37387,35.6,70.5,A,L4,0
506,64.75,2.92,99.2,3044,45147,50.8,65.8,B,L2,0
507,64.94,3.95,63.7,3922,96030,46.5,73.1,A,L1,1
508,76.99,3.62,90.5,200,55891,49.5,78.0,B,L3,0
509,89.11,1.14,68.0,8999,25469,70.9,60.1,B,L3,0
510,52.48,2.56,92.0,3920,37889,63.9,78.3,C,L1,0
511,71.08,3.87,103.5,2394,97533,53.9,66.1,A,L3,0
512,67.96,3.16,90.8,4940,90628,53.8,72.1,B,L3,1
513,60.07,3.67,85.2,6807,111972,42.1,71.2,C,L3,0
514,78.38,6.99,70.0,8811,62056,61.3,68.5,C,L2,1
515,65.48,2.28,100.8,4858,13506,40.4,59.7,A,L3,0
516,67.82,3.72,61.2,8744,70182,40.2,65.1,C,L1,1
517,82.19,2.4,84.7,2308,85072,46.9,86.4,A,L1,1
518,68.09,2.03,87.3,5872,51980,18.1,72.5,A,L4,0
519,84.87,3.19,60.2,6539,40906,25.7,51.4,B,L4,0
520,53.87,2.26,66.9,7868,77384,43.9,74.0,B,L1,0
521,96.27,3.58,90.7,3644,93792,46.8,76.0,A,L1,1
522,58.81,1.06,71.9,6658,72803,95.0,62.8,C,L4,0
523,62.08,3.13,102.8,6817,47220,67.8,66.2,B,L1,0
524,74.66,2.78,69.1,5018,105436,67.5,63.3,C,L3,0
525,63.28,3.65,91.4,897,2608,32.9,76.9,C,L2,0
526,77.83,3.21,75.8,7152,98685,22.4,62.6,B,L2,0
527,75.38,2.22,106.6,5644,7527,48.9,76.2,A,L3,0
528,72.44,2.41,67.8,657,90475,45.2,82.0,C,L2,0
529,68.27,,98.7,5578,80068,34.3,74.0,A,L3,1
530,74.61,4.99,63.5,2078,56975,30.6,71.8,A,L3,0
531,61.22,3.26,83.5,5037,80775,49.5,64.0,A,L3,0
532,55.34,2.06,82.2,6924,10186,58.6,68.6,C,L1,0
533,74.57,1.98,,5152,67880,34.9,71.7,B,L2,0
534,71.57,2.1,59.9,4989,19388,48.2,70.4,A,L4,0
535,78.81,1.72,93.7,7523,65184,77.2,68.6,A,L1,0
536,66.37,4.18,98.6,7187,22298,18.9,66.4,C,L1,0
537,55.06,2.58,82.9,5733,4539,11.6,55.3,A,L3,0
538,52.15,3.67,85.2,2847,35689,83.8,84.6,A,L1,0
539,78.85,1.53,84.2,6224,74023,50.8,76.6,B,L3,0
540,55.65,2.14,81.5,5531,69688,45.2,80.9,A,L3,0
541,85.03,3.46,76.9,4071,11611,55.5,78.5,A,L3,0
542,63.45,1.73,81.9,8264,8358,25.7,79.8,C,L4,0
543,69.54,2.97,85.5,8041,30556,57.5,83.3,A,L1,0
544,,6.71,89.1,5037,36964,30.8,83.8,C,L2,1
545,54.52,4.08,93.5,6647,77899,28.7,67.1,A,L2,0
546,65.88,1.92,77.2,4255,79033,53.1,77.8,B,L1,0
547,66.77,5.65,76.8,4412,100980,46.4,61.7,B,L2,1
548,61.3,2.48,91.5,1700,15668,51.7,60.0,B,L4,0
549,69.07,6.54,94.3,484,89596,70.0,64.7,B,L1,1
550,53.39,2.24,86.6,5784,114391,56.8,75.0,C,L3,0
551,66.6,7.92,72.7,1779,110995,60.1,60.8,B,L1,1
552,72.84,1.75,101.2,4690,69373,59.3,87.3,B,L4,0
553,75.44,6.41,84.4,6471,109787,8.7,74.7,A,L1,1
554,55.26,1.62,85.7,6801,108183,41.4,68.9,B,L2,0
555,82.16,4.22,88.6,371,118315,41.8,75.7,C,L2,1
556,73.16,2.72,101.2,3392,75468,29.3,64.4,B,L4,0
557,63.75,1.53,82.4,3486,76934,39.6,76.5,A,L3,0
558,75.78,4.42,86.9,7449,37006,49.3,71.8,A,L3,0
559,61.73,1.83,72.5,1533,23947,42.8,65.9,B,L3,0
560,71.86,3.91,92.8,4557,88585,47.5,81.5,C,L2,0
561,74.43,3.25,89.5,3184,3475,46.6,76.9,B,L4,0
562,56.53,3.11,74.2,276,114747,49.0,71.4,A,L2,1
563,83.1,1.79,72.6,577,63494,51.3,70.8,B,L3,0
564,66.15,3.47,76.8,5356,118346,23.2,62.9,B,L2,0
565,55.46,1.97,67.1,1791,114510,23.2,70.8,B,L2,0
566,80.6,4.89,59.0,461,52367,26.9,70.9,A,L2,0
567,69.8,3.4,78.4,8245,29150,58.4,79.8,C,L1,0
568,83.26,1.58,86.6,4052,118455,46.4,77.5,B,L3,1
569,89.6,4.38,103.2,7448,109605,61.0,69.3,C,L2,1
570,79.51,3.26,82.1,2121,112653,37.5,67.2,A,L2,0
571,74.72,3.43,81.5,2075,63325,46.2,77.7,C,L1,1
572,73.43,1.82,80.8,4268,97304,44.8,75.0,B,L1,0
573,70.91,1.72,87.2,6442,76402,72.1,51.6,B,L3,0
574,68.22,4.95,77.8,4446,70068,49.0,59.8,C,L3,0
575,53.65,2.43,88.5,6235,88948,67.2,82.0,A,L2,0
576,72.52,3.3,84.7,3250,14094,54.1,76.4,C,L1,0
577,61.49,2.9,89.9,7564,76141,71.8,69.0,B,L1,1
578,68.13,3.91,79.4,8485,39297,49.2,70.6,A,L4,1
579,42.56,2.85,76.0,3016,23539,79.9,71.2,A,L4,0
580,64.33,1.53,71.5,6765,55762,38.2,83.5,C,L3,0
581,59.57,3.58,97.9,5767,27537,7.8,67.2,C,L3,0
582,,4.13,79.4,879,42585,46.9,78.6,A,L1,0
583,53.59,3.58,80.3,5930,51888,50.9,75.1,A,L1,0
584,71.76,4.55,93.0,1973,111143,42.4,78.8,A,L1,1
585,67.98,2.67,89.3,5398,81596,52.3,68.0,A,L3,1
586,77.21,2.03,85.9,4732,44261,47.8,69.1,B,L4,0
587,67.79,2.98,99.2,7458,57402,55.1,79.3,B,L2,0
588,75.04,2.11,82.1,6281,9780,16.2,76.0,A,L1,0
589,69.6,4.6,74.5,1411,96658,40.2,65.9,A,L1,0
590,75.43,1.54,87.1,2547,28101,15.0,72.6,A,L1,0
591,76.67,2.01,82.7,8656,32576,34.3,70.9,C,L3,0
592,67.37,3.2,73.7,3286,6309,48.1,66.8,A,L3,0
593,69.88,1.76,96.0,7368,110049,32.9,75.4,C,L3,0
594,93.36,2.29,84.3,1215,51253,25.9,65.7,B,L3,0
595,61.96,2.6,71.2,7635,45737,20.5,86.6,B,L3,0
596,68.43,3.69,82.1,7138,62432,24.9,61.8,B,L3,0
597,68.88,1.54,88.7,5906,28040,45.0,80.7,A,L1,0
598,69.5,2.98,83.2,8806,21607,33.2,79.0,A,L2,0
599,58.17,3.09,75.5,5845,11433,68.0,68.4,B,L2,0
600,56.0,3.44,45.0,5684,49036,49.2,66.2,A,L4,0
601,73.48,2.44,68.0,407,34646,40.7,84.7,A,L2,0
602,58.56,2.49,86.7,3344,116119,44.5,80.7,A,L3,0
603,57.72,2.56,81.8,1570,42492,61.1,63.4,B,L3,0
604,77.64,2.21,103.4,4732,82453,45.7,76.7,B,L4,1
605,69.54,3.37,60.2,3993,60175,26.4,67.1,A,L3,0
606,75.49,3.42,,2116,63870,47.9,72.5,B,L1,0
607,79.14,2.19,76.4,7249,56232,55.7,67.4,A,L2,0
608,62.94,2.72,69.0,3198,108516,18.4,77.4,C,L1,0
609,84.8,3.52,67.6,456,22736,49.8,71.3,B,L4,0
610,71.29,5.02,83.3,3748,60209,55.3,66.6,B,L1,0
611,85.29,5.46,75.0,7687,40925,51.6,73.1,B,L4,1
612,69.37,6.27,69.1,4945,74431,79.5,63.8,B,L1,1
613,90.99,1.94,98.3,4311,25283,79.8,77.2,A,L1,1
614,76.79,5.41,104.9,8664,19882,18.9,70.2,B,L4,0
615,74.15,2.11,65.6,4545,10343,69.0,78.4,B,L3,0
616,82.28,3.63,84.2,2083,66048,77.1,60.1,A,L4,0
617,64.34,3.54,80.0,6813,90997,67.3,72.6,B,L4,0
618,48.73,2.13,102.5,7213,63394,76.5,74.9,A,L3,0
619,67.41,2.83,94.6,4419,9068,45.2,77.1,A,L3,0
620,71.33,1.82,62.9,1676,88363,46.6,72.4,C,L2,0
621,58.33,2.83,89.9,5273,21305,45.6,84.5,B,L4,0
622,62.92,3.88,63.0,8065,105632,9.8,62.6,C,L4,0
623,66.16,1.23,91.1,5922,113507,60.0,80.9,A,L1,1
624,65.15,3.32,72.2,1595,11110,39.5,68.8,A,L4,0
625,74.38,3.92,101.3,3331,79773,44.1,73.9,B,L4,1
626,64.11,4.06,78.4,1549,16243,52.5,83.7,B,L3,0
627,60.42,3.27,97.7,4279,21875,61.3,70.7,B,L1,0
628,59.68,1.43,85.5,5187,71741,14.4,79.3,B,L1,0
629,62.68,2.41,66.7,936,84950,50.7,71.0,C,L1,0
630,70.88,4.11,65.5,6139,43143,69.3,89.8,B,L2,0
631,62.46,2.62,93.7,949,91667,13.8,69.6,A,L1,0
632,73.03,6.1,100.7,4352,45406,63.9,90.6,A,L3,1
633,70.38,1.95,92.3,4114,96783,45.4,59.2,A,L3,0
634,73.72,3.73,73.5,3541,99934,39.1,58.7,A,L3,0
635,58.61,2.55,79.6,393,16133,67.4,73.2,B,L4,0
636,76.83,5.96,80.7,7054,80408,60.6,70.4,C,L4,1
637,58.15,1.85,100.3,7734,114591,42.2,70.2,A,L2,1
638,83.74,2.71,91.1,1039,76031,39.9,68.4,C,L1,0
639,80.67,2.5,84.3,4164,54037,35.4,49.5,B,L1,0
640,50.99,3.28,108.2,6444,112726,51.1,80.9,A,L1,0
641,57.64,2.34,92.6,6693,106603,65.5,65.1,C,L2,0
642,79.22,1.8,99.7,6682,64773,54.7,74.0,B,L2,0
643,81.29,2.36,76.0,6844,66206,31.5,63.2,A,L4,0
644,64.99,3.64,61.6,5692,51549,63.7,71.0,C,L4,1
645,64.8,7.02,67.9,221,50758,57.9,82.9,A,L1,0
646,59.72,2.6,53.4,4110,87043,32.6,56.9,A,L3,0
647,84.07,1.45,87.3,2759,104028,75.8,61.9,C,L2,0
648,74.6,2.04,86.5,6782,13214,54.8,82.0,C,L1,0
649,62.96,3.76,106.9,4195,57438,54.4,71.7,B,L2,0
650,76.24,4.87,94.6,8332,63693,27.4,76.1,A,L4,0
651,62.49,5.32,113.0,1298,31178,49.8,73.5,A,L4,0
652,69.9,3.86,97.9,7095,113583,26.7,78.0,A,L1,0
653,71.47,2.6,84.7,1082,109912,39.7,84.9,A,L2,0
654,72.83,2.93,85.8,3236,37057,56.1,72.3,C,L1,0
655,61.86,1.36,82.7,8721,84242,63.5,75.2,A,L3,0
656,68.89,2.53,103.6,4552,100500,37.8,56.5,C,L2,0
657,59.24,2.14,99.4,599,76927,46.6,72.7,B,L3,0
658,97.67,3.24,66.4,1699,92156,19.6,82.2,B,L1,1
659,65.55,4.75,88.6,4705,98171,30.5,53.3,A,L2,0
660,71.13,3.65,84.7,2959,106835,52.7,64.3,C,L2,1
661,77.83,2.85,71.5,1872,110998,45.1,71.9,A,L3,0
662,77.09,1.75,64.2,3917,84707,36.2,82.8,C,L3,0
663,75.68,3.2,87.4,6121,52196,8.0,65.7,A,L2,0
664,69.95,3.21,81.9,5256,71600,47.1,72.1,A,L3,0
665,95.53,3.07,108.9,3620,37532,52.1,78.1,B,L1,1
666,67.28,5.71,82.3,5955,79158,48.3,74.6,B,L4,1
667,74.35,2.52,88.8,4694,88616,36.5,69.7,A,L2,0
668,84.88,3.12,84.9,5249,73462,57.7,70.1,B,L2,1
669,67.63,5.34,93.3,2404,91397,64.4,64.1,C,L4,1
670,77.91,2.44,85.9,4653,57591,37.6,65.1,B,L3,0
671,69.68,3.35,78.6,8176,101251,68.4,86.9,A,L4,1
672,74.1,1.37,100.1,8475,111405,45.6,63.5,B,L1,0
673,64.4,3.9,81.3,5674,25398,24.7,79.2,A,L1,0
674,71.93,2.92,93.5,1160,16192,18.3,71.7,A,L1,0
675,67.04,5.71,107.4,6847,103518,46.6,66.8,A,L3,0
676,74.24,3.9,84.6,8864,33092,41.5,73.7,A,L4,1
677,73.41,2.28,80.1,1650,91719,66.1,87.6,A,L2,0
678,75.93,2.05,70.3,8671,79348,71.8,69.5,C,L2,1
679,69.07,1.58,92.9,8567,82620,49.8,58.5,B,L4,0
680,65.64,3.51,87.7,7022,67752,22.7,70.9,A,L2,0
681,84.05,1.83,89.3,1908,28882,38.6,62.7,B,L3,0
682,54.99,1.55,81.6,1134,34995,42.7,63.9,A,L3,0
683,78.18,2.77,95.3,5520,22104,52.1,66.7,B,L4,0
684,64.75,2.58,97.6,6289,42563,50.2,78.8,C,L3,0
685,71.65,1.95,93.9,4183,83225,47.9,71.0,B,L2,0
686,52.57,,93.9,1933,99632,56.0,60.6,B,L4,0
687,60.63,1.6,96.7,6098,77486,22.8,62.8,A,L3,0
688,64.82,2.7,94.4,5327,6586,31.1,67.2,B,L2,0
689,76.38,2.86,79.0,5179,96628,48.5,58.9,B,L2,0
690,52.16,5.34,90.6,1885,32695,45.9,70.3,A,L1,0
691,76.79,7.88,64.5,4973,111874,77.4,78.2,B,L1,1
692,58.79,2.74,104.8,2001,109405,22.6,65.7,B,L3,0
693,72.47,2.51,64.9,4497,34583,8.7,82.4,B,L2,0
694,76.47,4.86,78.8,3813,82882,50.4,73.7,A,L4,0
695,,2.08,92.1,1106,12404,30.2,61.1,C,L1,0
696,61.53,2.23,79.9,6370,56460,45.1,66.9,A,L4,0
697,78.56,2.32,103.6,3232,63913,60.1,75.4,A,L1,0
698,78.76,2.63,103.0,5360,50225,49.6,68.4,A,L2,0
699,89.2,5.33,53.8,3751,17989,58.4,75.4,B,L4,0
700,68.1,3.01,68.3,8299,57228,43.5,69.9,C,L3,0
701,54.1,1.81,104.7,6462,104782,67.1,80.4,B,L3,0
702,61.87,3.32,80.4,8609,98586,52.0,85.5,C,L3,1
703,88.88,1.32,75.1,6636,36655,68.4,75.1,A,L3,0
704,85.18,2.52,98.2,3712,92616,55.5,78.3,A,L3,0
705,62.68,5.0,88.2,2434,62393,51.8,60.7,B,L1,0
706,59.17,2.76,65.9,4601,113318,16.5,72.1,A,L4,0
707,69.78,1.99,77.2,2581,72101,69.0,53.2,C,L3,0
708,72.23,7.08,88.8,8536,119515,33.9,68.1,A,L2,1
709,89.35,1.65,101.9,4708,22401,71.8,67.5,B,L3,0
710,64.64,1.3,82.0,251,57212,63.3,70.5,A,L2,0
711,42.18,1.31,95.0,3394,71184,56.1,61.9,A,L4,0
712,61.71,4.78,95.2,8991,22346,68.3,80.9,C,L1,0
713,54.45,1.62,122.3,7226,9337,20.7,61.8,C,L3,0
714,65.36,2.96,59.2,4240,43317,52.8,70.1,A,L2,0
715,43.42,3.43,74.0,3603,113236,37.1,60.9,C,L4,0
716,70.42,2.18,103.5,6264,85321,46.3,70.9,C,L3,0
717,74.93,1.87,107.7,206,58077,28.9,69.7,C,L3,0
718,70.36,1.31,99.0,527,109041,56.5,83.7,A,L2,1
719,72.48,2.59,112.3,3837,96217,28.0,68.8,A,L1,0
720,66.32,3.23,92.6,4003,81296,74.6,79.7,B,L4,0
721,68.28,3.01,72.7,6789,59986,43.3,62.6,A,L3,0
722,77.92,3.21,111.1,3754,63953,47.6,80.8,B,L2,0
723,66.31,2.58,89.1,4670,44665,52.0,62.6,C,L2,0
724,56.99,1.09,96.1,4530,79357,48.9,72.8,A,L1,0
725,53.12,2.78,84.9,3228,2429,61.4,59.2,A,L3,0
726,63.65,2.1,87.4,8755,43798,73.4,79.0,C,L2,0
727,66.51,3.11,70.4,8442,23686,48.2,67.0,B,L2,0
728,70.99,3.45,79.2,4970,49563,53.2,67.6,C,L4,0
729,71.79,3.81,94.6,2807,27114,57.0,73.4,C,L3,0
730,62.83,2.93,94.4,6029,98094,39.5,69.5,A,L2,0
731,,4.72,75.8,2448,2262,27.9,63.9,C,L3,0
732,74.1,3.14,87.4,2593,10686,49.7,66.2,C,L1,0
733,70.04,,105.0,4710,49524,67.4,69.1,C,L3,0
734,64.39,1.93,,2283,84889,38.8,86.2,A,L1,0
735,53.14,2.51,62.5,688,102414,58.3,77.5,B,L2,0
736,82.02,6.75,97.3,4160,93369,61.3,73.6,A,L1,1
737,83.92,4.27,99.9,5473,61196,46.1,84.1,A,L1,1
738,78.93,1.83,97.5,7223,89956,56.9,91.0,A,L3,1
739,57.27,1.92,104.6,2156,98871,26.0,79.0,A,L3,0
740,55.44,2.45,72.5,2989,39566,28.8,69.2,C,L4,0
741,71.23,3.63,76.7,7317,34467,72.9,78.9,B,L2,1
742,75.2,2.21,87.6,4387,12674,14.7,77.0,B,L3,0
743,48.42,6.48,82.8,1167,96702,53.7,71.9,A,L2,0
744,59.32,1.28,101.3,2144,12432,21.6,69.6,A,L3,0
745,62.05,3.59,73.3,4058,4064,47.3,88.7,B,L3,0
746,79.64,2.94,68.3,5579,46752,48.1,77.1,C,L2,0
747,64.32,5.46,90.1,6804,39820,56.2,64.8,C,L4,0
748,78.49,3.98,88.5,848,69426,31.4,72.7,C,L2,0
749,73.77,3.02,86.7,4005,87887,69.7,73.8,B,L2,0
750,75.9,3.73,87.6,7209,102454,45.7,66.4,B,L3,1
751,69.54,2.91,80.1,8159,20000,42.2,73.1,A,L1,0
752,89.22,1.14,98.4,235,21358,5.0,68.3,A,L2,0
753,77.85,3.41,84.1,4863,94773,30.9,68.7,A,L1,0
754,75.84,6.02,72.4,142,78584,32.1,72.9,A,L4,0
755,57.28,2.79,92.3,8927,110945,34.4,76.8,A,L4,0
756,65.81,4.93,55.0,3847,73737,38.5,69.5,A,L4,0
757,72.43,4.0,57.7,2578,106664,49.7,74.5,C,L2,1
758,79.94,3.03,78.2,177,3571,81.1,87.1,A,L2,0
759,66.03,2.45,96.1,444,18530,42.4,59.9,B,L2,0
760,50.32,3.39,83.6,8812,81236,64.4,65.0,B,L3,0
761,80.54,1.33,74.6,579,69589,64.1,76.9,A,L1,0
762,73.53,3.06,66.1,7876,45648,52.7,65.6,C,L3,0
763,60.13,4.22,86.3,3874,77171,49.9,76.4,A,L4,0
764,66.93,1.64,80.9,7052,74758,45.2,66.3,A,L2,0
765,54.45,1.19,80.7,3376,36129,95.0,54.3,A,L2,0
766,64.48,2.06,86.8,956,119184,27.8,64.4,A,L3,0
767,79.38,1.77,62.1,2581,7029,23.5,67.8,B,L3,0
768,75.72,1.61,83.6,3259,26806,5.0,70.1,B,L1,0
769,65.09,4.31,95.4,3387,39728,45.0,70.1,A,L2,0
770,58.91,4.41,91.5,7943,61773,57.0,63.5,B,L2,0
771,65.02,2.97,100.7,8721,100966,37.3,61.5,C,L4,1
772,72.19,3.33,97.4,4585,119286,41.2,84.9,C,L1,1
773,83.36,4.21,92.7,2417,69278,15.7,74.4,A,L1,0
774,86.27,5.65,78.2,7656,41204,51.0,79.0,A,L1,0
775,61.21,1.41,96.8,213,41498,27.2,77.4,A,L1,0
776,69.11,5.0,98.4,6783,35366,35.4,64.6,C,L1,0
777,72.58,2.82,87.0,5629,105901,44.4,71.4,B,L4,1
778,60.63,3.99,75.8,2737,109876,41.8,75.4,C,L1,1
779,67.76,1.09,101.3,1184,109385,30.8,79.9,A,L1,0
780,63.62,1.9,89.9,1702,20718,47.0,83.4,A,L4,0
781,83.26,2.05,67.1,2212,23885,52.9,70.0,B,L4,0
782,77.57,5.34,93.6,280,15028,34.1,79.7,A,L2,1
783,58.73,3.11,83.0,8073,28379,71.2,74.9,A,L4,0
784,68.07,1.02,70.9,4306,56725,72.6,67.0,A,L1,0
785,65.9,3.18,77.4,5309,97577,48.6,79.1,A,L4,1
786,58.0,3.1,81.6,4330,115491,51.7,63.4,B,L2,0
787,60.67,2.85,80.8,1080,13537,53.9,90.6,B,L1,0
788,64.5,5.05,84.3,4675,17084,27.3,53.1,B,L2,0
789,62.3,4.52,92.9,7586,81706,54.6,60.2,B,L4,1
790,83.16,2.82,76.2,6055,31718,61.5,59.1,B,L4,0
791,53.83,4.39,90.0,5267,70097,32.1,82.1,A,L4,0
792,78.15,4.31,94.8,7938,113668,55.9,80.2,A,L2,1
793,62.91,3.01,92.1,2050,68305,90.5,64.5,B,L3,0
794,82.06,3.94,65.3,8142,115692,52.3,79.7,A,L3,1
795,76.54,3.48,96.1,1037,68561,30.9,73.6,C,L3,0
796,59.81,3.12,83.1,1659,59611,43.1,71.8,C,L3,0
