id_estudiante,edad,asistencia_pct,horas_estudio_semana,tareas_entregadas_pct,promedio_previo,atrasos_mes,participa_clase,uso_plataforma_horas,jornada,area_carrera,target_riesgo_academico
362,24,100.0,13.3,95.1,5.32,3,1,5.2,vespertina,educacion,0
363,25,100.0,3.3,84.0,6.1,5,0,7.6,vespertina,salud,0
364,19,87.4,3.9,56.2,5.14,3,1,1.7,diurna,ingenieria,1
365,18,83.8,9.5,61.8,4.12,2,1,4.8,online,administracion,0
366,26,75.8,11.5,64.1,6.11,1,0,11.2,diurna,administracion,0
367,35,73.9,5.7,86.4,5.24,0,0,5.3,online,educacion,0
368,18,91.6,6.8,69.0,,0,1,3.2,diurna,ingenieria,0
369,18,49.8,3.4,61.1,5.03,5,1,7.4,diurna,salud,1
370,23,72.9,6.7,62.7,5.02,2,0,8.0,diurna,administracion,0
371,33,77.2,7.1,96.0,6.64,2,0,5.3,vespertina,educacion,0
372,20,71.4,10.2,77.1,3.64,1,1,2.6,diurna,administracion,0
373,42,100.0,8.9,71.8,5.39,4,1,3.1,vespertina,ingenieria,0
374,42,74.9,4.3,71.4,5.74,2,1,0.0,vespertina,ingenieria,0
375,32,84.7,3.4,55.0,5.07,5,0,4.4,vespertina,administracion,1
376,26,93.5,2.6,64.4,5.1,4,1,5.7,diurna,ingenieria,0
377,31,84.8,2.2,75.5,5.85,8,1,5.6,vespertina,ingenieria,1
378,23,78.8,4.0,76.7,5.13,3,0,5.6,diurna,salud,1
379,39,67.7,10.7,74.8,4.77,0,1,5.9,vespertina,ingenieria,0
380,43,70.6,5.4,86.6,4.07,3,0,5.8,diurna,salud,1
381,39,73.7,5.6,49.6,3.86,2,1,2.0,online,administracion,1
382,34,100.0,3.8,75.5,4.81,4,1,6.0,diurna,salud,0
383,29,66.7,10.3,80.5,4.45,2,1,1.6,vespertina,administracion,0
384,41,99.1,8.7,64.6,5.34,1,0,5.4,diurna,ingenieria,0
385,25,100.0,6.1,64.8,5.92,1,1,7.1,diurna,salud,0
386,34,72.2,8.3,69.7,5.12,3,1,5.4,diurna,educacion,0
387,24,81.8,10.9,54.4,2.88,1,1,0.6,diurna,administracion,0
388,20,61.7,4.0,90.1,5.39,0,1,6.4,diurna,administracion,0
389,35,71.9,4.5,85.8,3.69,3,0,7.2,online,educacion,1
390,21,69.6,9.3,78.2,5.4,0,0,0.6,online,administracion,0
391,24,100.0,6.7,47.5,4.85,0,0,3.9,vespertina,salud,0
392,29,92.7,9.3,93.8,4.93,4,1,0.5,diurna,ingenieria,0
393,40,79.4,13.8,53.3,2.92,3,1,5.8,vespertina,administracion,1
394,19,86.2,,69.7,5.47,2,1,2.1,online,administracion,0
395,28,93.6,10.8,100.0,5.79,5,0,3.2,diurna,administracion,0
396,44,77.6,6.3,81.4,5.94,2,1,5.6,diurna,educacion,0
397,33,82.4,3.2,83.6,7.0,3,1,7.3,diurna,salud,0
398,19,61.9,7.1,77.7,5.46,3,0,9.8,vespertina,ingenieria,0
399,23,98.8,3.5,75.9,4.63,1,0,4.2,diurna,administracion,0
400,24,68.1,3.3,71.4,5.69,3,1,6.5,online,ingenieria,0
401,25,78.0,21.0,99.1,4.03,2,0,5.0,diurna,ingenieria,0
402,31,93.9,4.5,67.2,6.18,0,1,13.5,online,salud,0
403,36,74.1,2.9,78.8,3.85,1,0,5.2,online,educacion,1
404,23,53.9,3.2,43.5,5.55,3,0,1.7,diurna,administracion,1
405,39,97.9,5.8,58.5,5.23,1,0,12.1,diurna,ingenieria,0
406,28,88.8,5.2,62.5,5.83,3,0,5.3,diurna,ingenieria,0
407,38,84.4,6.1,84.0,4.48,4,1,2.3,vespertina,ingenieria,0
408,32,71.9,3.4,85.8,5.2,3,1,3.1,diurna,educacion,0
409,29,100.0,4.8,97.7,6.37,2,1,4.8,diurna,educacion,0
410,19,57.4,12.5,68.9,,1,1,4.5,vespertina,salud,0
411,20,93.8,5.2,87.3,5.84,3,1,6.2,diurna,ingenieria,0
412,32,84.9,13.0,66.2,4.08,3,1,3.4,vespertina,educacion,0
413,28,89.8,5.5,53.5,5.34,0,1,7.3,vespertina,educacion,0
414,39,100.0,7.7,63.4,3.92,4,0,4.3,vespertina,ingenieria,0
415,42,,6.5,99.1,4.6,1,1,2.6,diurna,administracion,0
416,32,76.6,5.0,98.1,4.67,0,1,3.3,diurna,administracion,0
417,20,67.7,8.8,94.1,3.58,0,1,7.5,diurna,administracion,0
418,20,93.4,3.2,36.8,4.16,2,0,4.9,online,educacion,1
419,33,,6.8,100.0,5.95,0,0,6.7,online,ingenieria,0
420,34,100.0,5.5,79.6,7.0,3,1,9.0,diurna,educacion,0
421,34,74.2,3.5,81.7,5.09,6,1,2.4,vespertina,administracion,1
422,36,78.6,6.5,67.1,4.68,2,0,4.3,diurna,educacion,1
423,37,46.2,12.8,100.0,4.26,5,1,3.9,online,ingenieria,1
424,35,60.5,10.4,40.7,5.39,2,0,4.4,diurna,salud,1
425,28,100.0,2.8,55.6,5.49,4,1,4.7,diurna,salud,0
426,39,86.8,3.2,55.6,5.35,2,1,6.9,diurna,educacion,0
427,35,47.4,1.3,75.2,5.19,2,0,2.0,online,salud,1
428,40,78.5,10.2,62.2,6.86,1,1,3.1,online,ingenieria,0
429,20,97.0,3.2,61.9,4.1,1,1,7.1,vespertina,salud,0
430,29,71.2,9.1,85.7,5.61,1,0,9.6,diurna,educacion,0
431,23,87.4,6.6,58.1,4.34,1,1,0.0,vespertina,salud,0
432,22,88.8,19.9,80.9,6.53,3,0,3.6,vespertina,salud,0
433,33,80.6,6.8,58.6,5.47,3,1,7.4,diurna,salud,0
434,37,52.5,8.4,98.0,4.61,4,1,5.5,diurna,salud,0
435,40,91.4,5.4,84.2,5.61,0,1,7.9,diurna,salud,0
436,40,75.9,1.8,31.9,5.04,3,1,9.3,diurna,salud,1
437,20,61.9,0.9,50.9,4.39,4,0,5.6,diurna,educacion,1
438,27,71.0,12.6,55.0,5.17,1,1,8.3,diurna,ingenieria,1
439,44,91.7,2.7,53.4,5.3,1,1,0.6,vespertina,ingenieria,0
440,19,79.4,7.1,72.3,3.86,4,0,5.1,diurna,educacion,1
441,25,94.1,4.7,69.8,4.07,1,0,3.6,diurna,educacion,0
442,23,72.8,2.6,65.8,5.83,4,0,10.9,vespertina,educacion,0
443,23,66.2,5.5,77.1,4.68,3,1,7.6,online,ingenieria,1
444,27,57.7,5.4,33.7,5.65,0,1,8.8,vespertina,administracion,0
445,26,67.8,2.9,93.0,5.09,1,1,1.8,diurna,ingenieria,0
446,23,81.8,1.8,71.1,5.32,0,1,3.6,online,salud,0
447,43,70.6,8.2,91.8,5.84,1,0,8.3,online,educacion,0
448,41,84.5,8.3,53.3,4.65,3,1,8.1,online,administracion,1
449,26,70.9,12.6,52.7,3.73,1,1,6.0,diurna,salud,0
450,32,100.0,1.7,56.0,4.71,3,0,8.5,diurna,ingenieria,0
451,24,94.5,2.7,73.9,3.78,4,1,6.6,diurna,administracion,0
452,34,79.6,4.1,66.9,4.79,1,1,11.6,diurna,ingenieria,0
453,39,71.8,7.1,66.0,4.53,2,1,4.6,vespertina,ingenieria,0
454,25,97.7,5.0,79.9,4.62,3,1,9.7,diurna,salud,0
455,19,85.4,5.4,84.3,4.62,0,0,9.9,vespertina,educacion,0
456,33,76.5,9.4,55.1,5.66,2,1,5.7,diurna,salud,0
457,35,75.7,7.7,89.7,6.87,1,0,8.9,vespertina,ingenieria,0
458,22,94.0,3.1,90.8,5.41,0,0,6.1,vespertina,ingenieria,0
459,27,80.3,2.6,71.8,5.23,1,0,5.5,vespertina,ingenieria,0
460,43,76.4,11.7,92.3,5.47,2,1,4.1,diurna,administracion,0
461,24,89.4,16.7,73.3,4.53,2,1,5.9,vespertina,administracion,0
462,25,91.6,7.3,73.6,5.34,2,0,3.5,diurna,ingenieria,0
463,26,61.4,13.5,60.6,6.64,1,1,7.4,vespertina,salud,0
464,33,77.5,9.5,82.3,6.36,1,0,3.7,diurna,administracion,0
465,33,68.0,11.3,67.8,5.15,1,1,5.6,diurna,administracion,0
466,38,100.0,4.4,86.1,4.59,1,1,10.5,diurna,administracion,0
467,24,60.1,7.5,72.3,3.61,1,0,6.2,online,administracion,1
468,27,57.8,2.8,40.3,4.84,3,0,8.3,vespertina,salud,1
469,42,49.0,13.3,52.9,4.53,2,1,10.3,vespertina,ingenieria,1
470,29,81.0,15.3,67.9,4.55,3,1,5.8,diurna,ingenieria,0
471,36,78.2,7.6,81.7,5.03,3,0,4.8,vespertina,administracion,0
472,18,74.9,3.5,97.5,5.42,4,1,5.9,online,ingenieria,0
473,28,100.0,4.6,58.2,3.38,4,1,5.0,vespertina,educacion,1
474,37,71.4,1.7,56.7,5.87,0,1,5.8,diurna,administracion,1
475,37,90.9,6.6,77.4,3.03,4,0,3.7,diurna,administracion,1
476,23,74.4,12.5,43.8,4.56,0,1,1.3,diurna,salud,0
477,29,100.0,1.5,100.0,5.37,1,1,5.5,diurna,ingenieria,0
478,20,93.3,16.5,29.3,5.31,1,0,5.0,vespertina,ingenieria,0
479,34,100.0,9.2,94.1,6.11,2,1,4.7,online,administracion,0
480,24,100.0,6.3,83.3,6.02,3,1,8.3,vespertina,ingenieria,0
481,40,66.1,9.1,67.5,5.66,1,1,2.2,diurna,ingenieria,0
482,37,77.4,13.7,66.7,2.87,4,1,0.1,diurna,ingenieria,0
483,31,78.0,2.5,53.8,5.77,7,0,6.7,diurna,administracion,1
484,35,,7.5,64.7,6.63,3,1,5.2,diurna,educacion,0
485,40,65.7,5.5,84.5,4.71,0,1,9.5,online,administracion,0
486,30,64.9,2.3,71.6,4.41,2,1,7.8,online,educacion,1
487,41,,9.5,71.8,5.59,2,1,9.1,vespertina,educacion,0
488,26,48.8,3.8,96.1,4.93,1,1,3.7,online,salud,1
489,43,100.0,,100.0,4.76,0,0,8.4,diurna,administracion,0
490,28,76.7,3.2,71.7,2.94,1,1,5.4,online,educacion,1
491,31,72.3,11.5,78.3,4.68,0,0,8.9,vespertina,ingenieria,0
492,27,96.9,6.6,69.7,5.16,4,1,5.1,diurna,administracion,0
493,41,55.8,10.2,54.7,5.79,1,0,2.0,diurna,administracion,0
494,33,61.6,12.5,100.0,4.6,3,1,8.5,diurna,ingenieria,0
495,26,76.1,2.7,79.6,3.09,1,0,3.1,vespertina,salud,1
496,18,89.2,5.4,82.2,4.33,3,1,3.1,vespertina,ingenieria,1
497,20,87.9,5.0,61.1,4.79,1,0,9.9,vespertina,educacion,0
498,35,,6.5,59.4,6.26,2,1,4.5,vespertina,salud,0
499,41,70.3,4.6,100.0,3.57,2,1,2.5,vespertina,administracion,0
500,19,69.5,5.1,86.9,6.1,2,1,6.1,vespertina,educacion,0
501,32,63.3,12.7,86.2,3.76,2,1,4.4,diurna,salud,0
502,19,100.0,7.2,82.0,4.58,1,1,10.5,vespertina,administracion,0
503,35,87.0,6.5,76.5,5.42,1,1,6.7,diurna,administracion,0
504,34,66.8,5.8,99.5,3.51,3,1,5.0,vespertina,administracion,0
505,27,86.5,3.5,72.8,5.05,1,1,7.3,online,salud,0
506,33,46.6,10.2,97.6,3.9,2,0,7.1,diurna,ingenieria,0
507,36,58.5,5.6,67.7,5.61,0,1,9.9,diurna,salud,0
508,23,100.0,8.2,60.0,3.57,3,1,7.2,vespertina,salud,0
509,28,72.4,13.2,78.0,6.71,1,0,3.1,diurna,administracion,0
510,27,68.9,8.0,77.4,4.72,2,1,8.7,vespertina,administracion,0
511,37,57.5,17.4,88.1,5.93,2,0,2.9,diurna,educacion,0
512,21,79.6,9.6,63.0,5.88,0,1,2.4,vespertina,educacion,0
513,36,,5.2,69.0,4.75,1,0,7.4,diurna,ingenieria,0
514,33,95.0,2.9,75.5,5.48,2,0,7.6,diurna,ingenieria,0
515,33,74.5,10.0,99.7,3.38,3,0,6.9,diurna,administracion,0
516,40,58.3,8.2,54.7,4.97,2,1,7.0,vespertina,ingenieria,1
517,34,85.0,6.2,63.3,5.37,4,1,2.3,vespertina,educacion,0
518,20,74.6,12.5,43.4,3.07,1,1,10.9,diurna,administracion,1
519,19,70.1,8.7,85.0,3.78,2,0,9.6,diurna,ingenieria,0
520,25,100.0,6.1,100.0,6.61,2,0,6.5,diurna,administracion,0
521,38,54.8,11.3,64.0,4.22,0,1,5.5,diurna,educacion,1
522,36,89.3,2.4,41.6,2.47,4,0,6.2,diurna,administracion,1
523,24,91.6,6.8,100.0,5.48,1,0,5.4,vespertina,ingenieria,0
524,19,67.2,8.7,81.6,2.81,0,1,7.4,diurna,salud,0
525,34,100.0,3.4,96.1,5.64,0,1,2.8,online,salud,0
526,41,83.8,7.1,91.5,6.54,7,1,8.6,diurna,salud,0
527,24,65.6,14.0,32.3,6.2,5,1,0.0,vespertina,ingenieria,1
528,37,71.5,8.0,87.1,6.18,4,1,7.9,vespertina,salud,0
529,37,69.4,4.8,66.8,4.05,2,0,8.7,online,administracion,0
530,20,59.7,7.9,75.0,7.0,1,1,2.2,diurna,salud,0
531,38,75.4,2.3,47.5,5.33,1,1,6.3,vespertina,salud,1
532,38,63.0,10.0,100.0,4.66,1,0,1.7,online,administracion,0
533,32,71.1,,75.0,6.35,1,0,2.8,vespertina,salud,0
534,22,72.3,3.6,96.5,5.94,2,0,8.8,diurna,ingenieria,0
535,29,68.0,11.1,57.2,6.65,3,1,6.2,diurna,administracion,0
536,43,100.0,2.9,72.3,3.54,4,0,8.8,diurna,administracion,0
537,20,84.6,0.7,75.6,2.98,3,0,5.8,diurna,ingenieria,1
538,21,75.9,11.8,78.2,5.72,1,0,4.4,diurna,ingenieria,0
539,24,56.0,10.5,47.5,5.68,3,0,11.0,diurna,salud,0
540,34,48.2,8.6,75.5,2.86,1,0,10.4,online,educacion,1
541,20,100.0,7.7,95.9,4.92,3,1,0.5,vespertina,ingenieria,0
542,39,59.2,7.6,82.2,6.72,0,1,3.6,vespertina,ingenieria,0
543,44,85.9,5.6,100.0,4.58,0,0,2.7,vespertina,ingenieria,0
544,18,71.0,5.0,78.9,7.0,5,0,2.2,vespertina,educacion,0
545,28,88.3,4.5,88.3,4.63,2,1,6.3,diurna,ingenieria,0
546,27,82.2,11.4,76.0,5.23,3,1,11.8,diurna,administracion,0
547,36,87.3,9.6,65.1,4.1,2,0,6.0,diurna,ingenieria,0
548,40,87.9,4.5,91.5,5.65,4,0,3.8,diurna,educacion,0
549,27,64.1,4.8,48.6,2.88,3,0,2.0,diurna,educacion,1
550,34,55.8,13.7,53.5,4.49,3,0,4.4,diurna,administracion,1
551,18,100.0,3.2,62.2,4.79,2,1,6.4,vespertina,administracion,1
552,23,42.7,9.7,64.6,5.09,4,1,3.0,diurna,salud,1
553,30,76.4,6.7,46.1,4.75,2,0,6.7,vespertina,ingenieria,1
554,42,83.2,6.5,65.2,6.31,3,1,12.2,vespertina,ingenieria,0
555,24,100.0,6.3,84.3,4.99,1,0,9.4,diurna,ingenieria,0
556,35,67.3,7.0,100.0,4.51,0,0,9.4,diurna,administracion,0
557,27,100.0,1.3,70.5,5.53,2,0,3.2,diurna,salud,0
558,33,56.5,6.2,83.4,4.98,3,1,2.2,vespertina,educacion,0
559,43,76.0,2.1,67.1,5.3,2,0,2.9,vespertina,educacion,0
560,36,67.8,12.5,66.9,4.3,0,0,3.4,diurna,administracion,0
561,36,95.1,4.6,84.5,5.86,1,1,2.4,vespertina,ingenieria,0
562,30,69.6,2.9,75.5,6.3,2,0,8.1,online,administracion,0
563,31,84.2,8.7,86.0,5.58,1,0,4.8,diurna,ingenieria,0
564,25,55.5,5.7,94.5,4.6,2,1,2.0,diurna,ingenieria,0
565,44,87.0,10.0,44.0,5.32,3,0,11.7,diurna,salud,0
566,44,82.7,8.1,79.0,4.89,2,0,4.6,diurna,administracion,0
567,44,85.7,5.4,68.1,3.08,0,0,2.1,vespertina,administracion,0
568,36,64.1,4.7,83.2,5.33,0,0,5.9,diurna,educacion,0
569,34,67.1,13.0,43.5,5.28,4,1,7.1,online,administracion,1
570,35,75.8,7.1,73.3,5.91,1,1,9.2,diurna,administracion,0
571,34,57.3,3.1,85.4,5.68,3,1,5.9,online,ingenieria,0
572,32,95.2,3.4,37.6,4.48,1,0,3.5,vespertina,administracion,1
573,32,96.3,10.3,100.0,4.97,4,0,8.8,diurna,salud,0
574,38,89.5,1.0,63.1,3.35,4,0,3.0,vespertina,ingenieria,1
575,20,73.2,7.2,94.4,5.18,2,0,1.4,vespertina,administracion,0
576,44,82.0,4.5,57.0,4.09,5,1,4.2,diurna,ingenieria,1
577,37,69.2,13.0,69.3,6.44,4,0,8.0,diurna,administracion,0
578,33,88.9,4.5,100.0,5.39,2,1,6.3,vespertina,educacion,0
579,35,76.9,5.7,37.3,5.96,1,1,4.6,diurna,educacion,1
580,22,75.1,3.2,87.1,4.11,4,0,3.6,diurna,salud,0
581,33,80.8,16.5,96.1,6.16,1,1,8.0,diurna,administracion,0
582,36,66.1,16.1,67.7,6.07,3,1,5.7,online,administracion,0
583,25,81.0,3.5,79.4,4.62,1,0,9.5,vespertina,ingenieria,0
584,29,81.9,11.1,57.0,6.28,0,0,6.9,diurna,ingenieria,0
585,36,72.2,3.6,66.1,5.19,3,0,5.6,diurna,salud,0
586,38,80.0,10.2,92.8,3.76,2,0,5.1,vespertina,administracion,0
587,27,61.7,2.2,64.4,4.14,3,1,6.2,online,educacion,1
588,19,97.9,9.1,86.8,4.89,3,1,6.3,vespertina,administracion,0
589,43,85.2,2.6,88.9,6.95,3,0,4.7,vespertina,educacion,0
590,40,89.1,6.4,70.7,6.29,2,1,6.2,vespertina,educacion,0
591,31,,9.9,38.8,5.82,0,1,8.8,vespertina,educacion,0
592,23,70.1,3.5,81.5,4.54,2,0,6.6,diurna,salud,0
593,19,99.9,11.6,73.8,5.25,3,1,11.6,diurna,salud,0
594,28,83.3,7.6,80.9,5.09,0,1,6.3,diurna,salud,0
595,21,81.5,5.0,90.4,6.13,1,0,5.8,diurna,salud,0
596,18,56.4,15.6,99.3,5.33,0,0,3.2,vespertina,ingenieria,0
597,24,72.6,5.5,66.7,6.4,3,0,9.4,online,salud,0
598,35,83.3,3.8,100.0,5.07,2,1,3.2,diurna,administracion,0
599,40,86.1,2.0,93.1,3.81,4,1,7.8,vespertina,administracion,0
600,34,71.9,12.7,89.2,5.54,5,0,0.0,diurna,educacion,0
601,38,78.2,6.3,59.9,6.24,4,1,2.4,diurna,administracion,0
602,26,73.6,4.7,75.0,5.32,7,1,0.4,vespertina,salud,1
603,36,100.0,8.4,65.5,5.34,1,0,5.1,diurna,ingenieria,0
604,26,75.3,1.9,81.8,2.58,4,1,10.5,diurna,salud,1
605,19,39.1,1.3,83.1,4.54,3,0,1.5,vespertina,administracion,1
606,34,83.7,10.8,97.5,6.85,6,1,2.0,diurna,ingenieria,0
607,21,75.8,11.3,55.2,6.6,4,0,3.3,diurna,salud,0
608,27,71.1,4.7,61.4,4.0,0,0,7.5,diurna,administracion,1
609,33,81.3,2.1,17.2,3.75,0,1,5.5,vespertina,salud,1
610,44,72.0,6.1,89.1,4.61,3,1,0.5,vespertina,educacion,0
611,37,75.9,5.3,72.3,5.99,0,0,12.2,online,educacion,0
612,31,83.7,14.2,44.0,4.62,3,1,3.7,diurna,ingenieria,0
613,28,48.7,10.0,85.3,5.45,3,0,7.1,diurna,ingenieria,0
614,36,74.2,8.8,75.4,3.95,5,1,9.8,online,administracion,0
615,22,71.9,3.0,100.0,3.59,0,0,3.0,diurna,ingenieria,0
616,31,62.6,4.8,83.0,4.18,1,1,10.2,diurna,administracion,0
617,19,69.6,3.4,71.6,5.17,1,0,4.3,diurna,ingenieria,0
618,22,75.2,1.5,59.3,6.45,6,0,4.8,vespertina,salud,1
619,27,81.3,5.7,94.5,4.05,0,1,8.5,online,educacion,0
620,39,84.5,2.5,80.7,5.99,4,1,8.4,online,ingenieria,0
621,43,82.7,7.4,80.8,5.56,3,1,8.3,diurna,salud,0
622,27,85.3,5.0,73.5,4.35,5,1,7.0,vespertina,educacion,1
623,20,57.2,6.5,71.0,4.74,1,1,6.8,diurna,ingenieria,1
624,36,68.1,10.2,84.6,4.84,0,1,2.0,diurna,ingenieria,0
625,42,52.1,9.0,68.0,5.94,2,1,4.8,diurna,administracion,0
626,26,70.3,11.9,55.4,6.39,2,0,4.5,vespertina,salud,0
627,18,80.7,5.3,68.2,5.86,1,0,8.7,diurna,ingenieria,0
628,37,43.2,4.8,100.0,5.13,0,1,7.0,vespertina,ingenieria,1
629,40,75.0,0.7,69.1,5.63,0,1,3.9,online,salud,0
630,20,76.3,8.3,82.5,,2,1,7.3,vespertina,educacion,0
631,21,88.0,12.5,50.5,5.68,3,1,6.2,diurna,administracion,0
632,24,80.6,12.7,100.0,4.09,3,0,6.0,online,salud,0
633,44,89.4,2.3,87.3,5.44,1,1,3.0,diurna,salud,0
634,31,72.7,11.7,86.7,4.9,2,1,7.1,vespertina,educacion,0
635,39,53.3,10.4,85.5,5.5,1,0,6.0,diurna,ingenieria,0
636,26,63.6,8.6,70.8,4.18,1,1,4.9,diurna,ingenieria,0
637,22,47.3,7.3,42.0,4.26,2,0,5.1,vespertina,salud,1
638,40,59.1,4.3,87.0,3.38,0,1,8.5,online,salud,1
639,23,57.1,4.7,61.3,4.14,2,0,0.0,diurna,ingenieria,1
640,39,67.3,6.0,86.2,4.84,1,1,9.8,diurna,educacion,0
641,29,56.5,4.2,84.5,5.14,1,0,3.6,vespertina,ingenieria,1
642,19,67.6,2.4,70.2,4.95,3,1,9.1,vespertina,ingenieria,1
643,18,63.0,6.1,67.7,5.04,3,1,4.7,diurna,ingenieria,1
644,25,100.0,8.6,62.9,4.15,4,1,5.7,diurna,administracion,0
645,34,64.5,1.9,46.3,5.07,2,0,2.6,online,ingenieria,1
646,41,66.4,16.4,77.1,5.28,0,1,0.7,diurna,educacion,0
647,37,88.7,6.4,70.6,3.65,3,0,3.8,vespertina,administracion,1
648,27,81.1,3.8,77.5,4.59,2,0,1.7,diurna,salud,0
649,24,91.0,6.5,67.0,5.69,1,0,2.8,diurna,administracion,0
650,38,72.1,2.8,74.6,4.41,0,1,4.6,vespertina,administracion,0
651,24,77.3,1.1,95.1,4.53,3,1,0.8,diurna,ingenieria,0
652,39,98.8,6.8,74.5,5.41,3,0,6.9,diurna,ingenieria,0
653,19,100.0,7.3,55.2,4.34,1,0,2.7,vespertina,educacion,0
654,33,51.4,2.3,86.2,5.61,0,1,4.7,vespertina,educacion,1
655,24,87.8,3.9,90.2,5.35,3,1,8.2,vespertina,educacion,0
656,21,71.2,7.2,81.1,3.48,3,0,7.8,diurna,administracion,1
657,34,56.8,3.0,67.7,4.68,3,0,7.0,vespertina,ingenieria,1
658,19,79.3,5.1,87.6,3.77,4,1,9.9,online,educacion,1
659,39,73.8,2.2,88.5,3.44,3,1,3.5,diurna,ingenieria,0
660,20,91.3,7.4,62.9,4.63,2,0,5.1,vespertina,ingenieria,0
661,26,100.0,7.6,96.7,5.53,1,0,2.7,diurna,ingenieria,0
662,18,65.5,11.0,56.1,4.5,3,1,2.3,diurna,administracion,0
663,34,95.8,15.1,76.4,6.24,2,1,7.0,diurna,ingenieria,0
664,19,93.1,17.0,30.9,6.0,0,1,8.0,vespertina,educacion,0
665,28,93.1,14.2,86.7,4.06,1,1,3.7,vespertina,educacion,0
666,43,100.0,1.4,92.5,6.23,4,0,7.9,diurna,ingenieria,0
667,40,63.7,6.6,67.5,4.61,2,1,1.1,vespertina,ingenieria,1
668,22,89.6,8.0,72.8,5.09,3,0,5.0,vespertina,salud,0
669,43,70.6,2.5,53.5,4.33,1,0,2.7,vespertina,administracion,1
670,33,,5.9,85.1,6.23,1,0,4.6,diurna,ingenieria,0
671,26,87.5,7.5,93.6,4.43,0,1,9.3,vespertina,educacion,0
672,40,82.7,2.8,57.0,4.04,2,0,6.9,diurna,ingenieria,0
673,33,82.6,1.1,48.0,5.43,3,0,4.7,vespertina,administracion,1
674,23,73.5,1.3,79.7,4.24,2,1,6.0,diurna,administracion,0
675,23,53.7,2.3,74.4,7.0,2,1,3.9,diurna,ingenieria,0
676,38,92.5,4.0,83.9,6.14,3,0,4.2,diurna,salud,0
677,42,77.4,8.1,100.0,5.47,3,0,4.2,diurna,ingenieria,0
678,27,43.8,1.3,58.9,5.69,1,1,6.2,vespertina,salud,1
679,38,64.2,2.7,78.3,5.39,3,1,7.8,diurna,ingenieria,0
680,19,100.0,13.5,80.1,4.45,1,1,10.1,vespertina,ingenieria,0
681,32,57.0,5.8,58.0,5.0,1,1,3.1,vespertina,salud,1
682,44,85.1,6.9,65.3,6.33,1,1,12.0,diurna,ingenieria,0
683,21,74.7,8.6,63.3,6.55,1,0,9.6,vespertina,ingenieria,0
684,18,76.4,9.2,87.6,4.7,4,1,5.9,diurna,salud,0
685,27,76.8,4.6,53.1,4.79,1,1,3.8,vespertina,salud,0
686,29,100.0,10.9,44.9,5.79,2,0,7.3,diurna,ingenieria,0
687,33,63.6,7.5,70.3,4.7,2,0,3.6,vespertina,educacion,1
688,36,79.3,1.7,98.9,5.18,1,1,5.6,diurna,ingenieria,0
689,21,98.6,5.2,68.2,6.58,3,0,11.4,vespertina,administracion,0
690,39,73.0,,32.5,5.24,1,1,3.4,online,educacion,1
691,40,68.4,15.1,100.0,4.7,2,1,7.8,diurna,salud,0
692,42,74.2,8.5,70.6,6.61,3,0,3.6,online,salud,0
693,23,65.6,9.6,97.7,5.28,2,0,5.4,vespertina,salud,0
694,32,72.4,9.1,88.1,,3,1,2.3,online,ingenieria,0
695,20,76.5,8.7,93.6,3.93,5,1,5.5,diurna,administracion,0
696,32,80.9,6.7,52.8,3.61,3,1,5.5,vespertina,educacion,1
697,29,56.1,1.9,96.9,4.91,2,0,9.5,diurna,salud,0
698,28,100.0,3.1,100.0,5.39,0,1,7.1,online,administracion,0
699,39,73.0,7.7,71.0,4.61,1,1,6.2,diurna,ingenieria,0
700,23,79.0,,86.0,5.35,3,1,13.2,diurna,ingenieria,0
701,19,91.3,20.8,73.7,5.34,2,0,3.2,diurna,ingenieria,0
702,26,48.8,6.1,63.4,4.07,0,1,4.8,diurna,educacion,0
703,18,90.3,0.9,59.4,3.89,2,1,11.2,vespertina,administracion,1
704,42,75.1,4.3,100.0,3.91,3,1,3.6,diurna,educacion,0
705,33,80.2,2.2,77.6,3.63,2,0,4.7,diurna,administracion,1
706,34,56.6,11.3,72.0,4.25,3,1,9.2,vespertina,administracion,1
707,32,75.6,3.6,54.0,6.5,1,1,7.1,diurna,ingenieria,0
708,25,60.5,5.0,77.8,4.9,0,1,4.3,diurna,administracion,0
709,27,83.0,4.9,56.3,3.57,0,1,0.0,vespertina,ingenieria,0
710,36,67.1,9.0,89.7,6.42,3,0,6.0,online,administracion,0
711,29,56.4,9.1,39.9,5.79,5,0,5.1,vespertina,administracion,1
712,41,72.8,8.4,60.3,3.67,1,1,1.4,diurna,administracion,0
713,40,99.1,6.7,83.9,5.98,4,1,4.8,online,ingenieria,0
714,41,65.8,4.0,88.5,,2,1,4.5,online,educacion,1
715,42,83.2,11.2,83.6,4.03,1,1,11.8,vespertina,salud,0
716,31,,5.7,87.4,5.9,1,1,3.0,vespertina,ingenieria,0
717,34,80.2,7.7,75.9,5.53,2,1,8.5,diurna,ingenieria,0
718,43,91.8,9.7,98.7,4.91,1,1,10.9,online,educacion,0
719,29,43.4,10.3,100.0,3.47,2,0,1.4,online,administracion,0
720,30,65.3,8.4,100.0,5.42,0,1,2.9,vespertina,ingenieria,0
721,35,67.7,6.7,100.0,3.79,2,1,1.4,diurna,salud,0
722,41,89.2,7.5,76.9,4.29,0,0,5.5,vespertina,ingenieria,0
723,40,92.1,13.7,54.9,5.15,2,0,7.8,diurna,educacion,0
